"individual.local.identifier","timestamp","COV.x.x","COV.y.y","COV.x.y","location.long","location.lat"
"SG-001","2017-10-28 21:19:00",423.907344298877,508.97243935433,143.728322502531,-122.212564234959,44.2067139269979
"SG-007","2017-10-28 21:47:00",15093.7786389916,14906.2921937728,-8665.41807772295,-122.217115831137,44.2103293848636
"SG-006","2017-10-28 23:07:00",21.6883352762631,115.310444387235,20.803312370563,-122.242101892756,44.1951890370619
"SG-006","2017-10-30 10:00:00",100.844510745531,258.262987556433,-132.454500138496,-122.242506876064,44.1964133032565
"SG-001","2017-10-30 10:48:00",3166.30115617544,133.006931692394,-324.181404773704,-122.2334558419,44.2016907617423
"SG-007","2017-10-30 11:27:00",159014.567244621,32774.9205263424,39146.0766438701,-122.209527912036,44.1995190328924
"SG-004","2017-10-30 14:15:00",1036.7386441848,1220.85191714129,945.679435325833,-122.191806087395,44.2168311198231
"SG-004","2017-10-30 19:33:00",1,1,0,-122.190914842124,44.2177809395411
"SG-001","2017-10-30 21:00:00",988.440205533795,77.632619902427,21.1351644167952,-122.2205247282,44.2052201012976
"SG-003","2017-10-30 23:40:00",0,0,0,-122.213574755893,44.237384225285
"SG-007","2017-10-31 19:05:00",1,1,0,-122.203577842408,44.2070751533305
"SG-006","2017-10-31 19:14:00",5588.70133892166,6731.44480912648,-3646.76333042589,-122.245804730772,44.1991026587568
"SG-001","2017-10-31 19:52:00",1803.75931818195,1621.65786047131,-451.108743939566,-122.234835684723,44.2007550770458
"SG-007","2017-10-31 20:37:00",5865208.48986332,1283757.54070129,-2715686.94865746,-122.199107435991,44.2025284202623
"SG-004","2017-10-31 22:04:00",67.1749035987085,129.102996276955,65.7249087767072,-122.204090474013,44.2219678908256
"SG-003","2017-11-01 00:26:00",0,0,0,-122.207645603369,44.2261103710006
"SG-004","2017-11-02 21:08:00",49.2454181623352,44.1114316399734,44.971561279011,-122.205772700499,44.2156399084362
"SG-005","2017-11-02 21:20:00",4683309.00462103,5404286.25126812,4954501.91592081,-122.170202258811,44.2504879572427
"SG-001","2017-11-02 22:48:00",42.272213735991,55.1592980131379,-46.9642195968958,-122.220832196728,44.2097975135664
"SG-006","2017-11-03 20:40:00",1,1,0,-122.244696487964,44.1931924428822
"SG-006","2017-11-03 20:59:00",8.36125775184378,8.85876021092932,-4.54910104515196,-122.236053173616,44.2028674690597
"SG-005","2017-11-05 20:36:00",17.3450531924496,0.118285630871485,-0.154226207938311,-122.229530878715,44.2013385137126
"SG-001","2017-11-05 20:56:00",310.217681994108,654.229292528437,218.199143682951,-122.230089006353,44.2061306762678
"SG-006","2017-11-05 21:30:00",56905.0338896252,39085.0746859639,-43843.4944439775,-122.227875899081,44.1883407064766
"SG-007","2017-11-06 22:25:00",2818.67580377617,2796.47908613759,24.133838272207,-122.221964452012,44.2067220700679
"SG-006","2017-11-07 19:36:00",399.345295914315,1714.5825787429,-96.5766062343764,-122.2423641317,44.1929256487298
"SG-001","2017-11-07 20:21:00",10.3887067106527,3.63756439183124,-2.51626785985187,-122.23712225577,44.2005595081834
"SG-003","2017-11-07 22:33:00",110.781533005325,41.4762348032769,-61.0623661281229,-122.223029652156,44.2189843580819
"SG-004","2017-11-07 23:45:00",0.588843091959534,1.85608147013949,-0.792927196777733,-122.190257632194,44.2206052022581
"SG-001","2017-11-09 20:46:00",351.831410763417,327.802364912527,163.359593849096,-122.218027624877,44.2037672563305
"SG-007","2017-11-09 21:53:00",261710.741439432,40728.9271188763,-34272.9747476302,-122.224497370647,44.1919045493498
