"","SG-001.spring","SG-001_2.spring","SG-003.spring","SG-005.spring","SG-006.spring","SG-008.spring","SG-009.spring","SG-010.spring","SG-011.spring","SG-001_2.summer","SG-006.summer","SG-008.summer","SG-009.summer","SG-010.summer","SG-011.summer","SG-013.summer","SG-015.summer","SG-025.summer","SG-001.fall","SG-001_2.fall","SG-002.fall","SG-003.fall","SG-004.fall","SG-005.fall","SG-006.fall","SG-007.fall","SG-008.fall","SG-009.fall","SG-010.fall","SG-011.fall","SG-012.fall","SG-013.fall","SG-014.fall","SG-015.fall","SG-016.fall","SG-017.fall","SG-018.fall","SG-019.fall","SG-020.fall","SG-021.fall","SG-022.fall"
"SG-006.summer",0.465902805759609,0.48082245700631,0.622912174695186,0.755564956702012,0.903742843818646,0.0993060504141435,0.425897898543279,0.274484954454325,0.949433234604599,0.384566950517996,1,0.0741395652658134,0.454878358669749,0.0557770216929263,0.677903955554824,0.78247820006871,0.0601722242575512,0.0454137501809692,0.820450286642866,0.686510507743194,0.148147479729698,0.410383707733581,0.298980020459352,0.668911036191989,0.869921075641819,0.825579372149483,0.101615975049612,0.464724882436014,0.466048266158992,0.740769483396322,0.0124808346166239,0.00952516233289031,0.831506988235807,0.0633667170335536,0.890791803192871,0.0156468876510452,0.0168942633508507,0.0571488624757091,0.0429167250481515,0.33020674117354,0.0224848666701305
"SG-008.summer",0,0.0900685307702666,0.122934632248058,0,0.00410209568560441,0.842756025690906,4.9361746204435e-06,0.59103938215919,0.0222501746233487,0.000686895571369007,0.0741395652658134,1,0.00488435078883467,0.88667063811844,0.145359460345827,0.891030472657042,0.88987722843777,0.518782435056808,0,0.693734242601145,0.00627609387545059,0.000248746907498149,4.85148837204758e-06,0,0.00241754220979003,6.95948196986743e-05,0.636939841482269,6.06531291627354e-05,0.91816878973275,0.00164411788124134,0,7.52578526329413e-07,0.00737554290462555,0.840019973480712,0.107160162379919,0.191386237292107,0.529654683543133,0.687048195745373,0.41523351807194,0.580234474884503,0.369816857014993
"SG-009.summer",0.0770674228933601,0.816823337121813,0.825559652968119,0.703953544028878,0.499024590005938,0.0186608932682824,0.917592904294253,0.50689504536451,0.711795141226304,0.953766182897084,0.454878358669749,0.00488435078883467,1,0.00510189536893316,0.624183832461754,0.932482870511617,0.000428134849361825,0.0222259099953728,0.116823388871342,0.75643389213609,0.27761337529231,0.864086962245883,0.563095284330995,0.513187518337369,0.584594461682848,0.505203669932202,0.0267476291639118,0.927152733780165,0.85627209573047,0.78797560491445,0.00235119458701742,0.0426197331745013,0.764693552489833,0.000905078551317435,0.577823491841272,0.0010977163116346,6.61215074306742e-06,0.00099425610627584,0.000163604500878737,0.509366717985573,0.00102896752292375
"SG-010.summer",0,0.0498202720830252,0.108563416067135,0.00014743279891051,0.00276160805098517,0.691871116247094,3.58314563114952e-05,0.546074084643987,0.0176584505252754,0.000850891676447986,0.0557770216929263,0.88667063811844,0.00510189536893316,1,0.138161708660143,0.874966957326895,0.807902553124428,0.493106535464468,0,0.62901432462488,0.00188713954079986,0.000658051945558403,1.64709753919685e-06,0,0.00121170374043179,0.000404764890682695,0.425346337495673,0.000530866044763956,0.927258313056495,0.0014755604649091,0,1.6534639813038e-07,0.00772321191702368,0.810453367642015,0.0799103047289268,0.189952503140636,0.652713342981187,0.631405373808336,0.374056957377558,0.462224430093488,0.425996853117752
"SG-011.summer",0.102284870707878,0.852850963525577,0.817792468655006,0.834714448036263,0.609123537403367,0.143816637049398,0.652796266624489,0.382871408543188,0.90547090690703,0.530822408847436,0.677903955554824,0.145359460345827,0.624183832461754,0.138161708660143,1,0.790085035446708,0.141227252029995,0.0936268291426386,0.232563430604646,0.72305268814254,0.16273509607992,0.516920455963651,0.300960142664403,0.556252221415879,0.570320128075988,0.484127835870939,0.140207963202623,0.548146397545737,0.574222291641418,0.69051073805633,0.00238051231900757,0.0215566461291399,0.819277230519848,0.144101412797495,0.684381440747975,0.0343783854239621,0.0878677919765105,0.123599196440233,0.0957366004615635,0.422670223352845,0.066867444762352
"SG-013.summer",0.908352056055816,0.821544944574773,0.949873322701577,0.946599828401883,0.88773028960328,0.838808155859617,0.927510111182212,0.76311105155579,0.879657482262994,0.90649087539257,0.78247820006871,0.891030472657042,0.932482870511617,0.874966957326895,0.790085035446708,1,0.839969208793485,0.343354655178514,0.88489614481641,0.991765637325808,0.900037522981586,0.909301577948249,0.752830448735143,0.952460407851354,0.890870894891899,0.930541601110737,0.892277241946143,0.938945008334281,0.817669238574558,0.955908718160198,0.695233915067369,0.897561869169604,0.945430718052108,0.886309685155221,0.930812842324343,0.665166409849247,0.805947085970985,0.836270315979753,0.815682975825324,0.799684782874538,0.293105199167147
"SG-015.summer",0,0.017013183327762,0.0892900460543954,0,0.00041430768634691,0.776105580064981,0,0.788242773709813,0.0070225549100613,1.62400209044115e-08,0.0601722242575512,0.88987722843777,0.000428134849361825,0.807902553124428,0.141227252029995,0.839969208793485,1,0.656469727428099,0,0.608948470439828,0.00084979178166712,1.30496636605972e-05,0,0,0.000134510183597666,6.53310925328091e-05,0.569316405951646,7.64521166517515e-08,0.919933816325245,3.55376125127024e-06,0,0,0.00475786461454808,0.832124760975289,0.0766200825251602,0.375624787636282,0.698873042721195,0.93515039657468,0.645795831169974,0.600642958489562,0.548669585632453
"SG-025.summer",0,0.0370180543285498,0.0513640138224374,0.00110670745827983,0.00373692977992829,0.507397078691707,0.00260841306878778,0.852200435740622,0.00901875196296234,0.0162951451507062,0.0454137501809692,0.518782435056808,0.0222259099953728,0.493106535464468,0.0936268291426386,0.343354655178514,0.656469727428099,1,0,0.357775260075108,0.0106168702497895,0.00371331302535642,0.000321217752556939,0,0.00217312645317743,0.00269417341566018,0.405894002411298,0.0139511801939473,0.722119767281223,0.00439257733815289,0,0.00108571256922915,0.015649553718925,0.485635612239464,0.0495120340789599,0.714671289474113,0.740700259514367,0.723934166386202,0.474044781574397,0.452128100255309,0.932186623266839
"SG-001.fall",0.760843858767103,0.0440001602421861,0.306046290077001,0.440454873656509,0.808983942035304,0,0.0668487210141313,0.108943913455433,0.664969885054394,0.0730617221801833,0.820450286642866,0,0.116823388871342,0,0.232563430604646,0.88489614481641,0,0,1,0.579462250011525,0.10708891923446,0.14985310660705,0.169897626034163,0.522464430552253,0.730339430063055,0.819113772685366,2.66797463456275e-10,0.149122455364151,0.493404560877937,0.513248675631194,0.0368119224325446,0.0114446770533173,0.510744544621344,0,0.756715816308258,0,0,0,0,0.0865950464983753,0
"SG-001_2.fall",0.612273534538788,0.734881228160082,0.896514977910746,0.792138909186441,0.762780149861815,0.669992801694155,0.685061164144427,0.822456911835397,0.789352938652775,0.634022158656459,0.686510507743194,0.693734242601145,0.75643389213609,0.62901432462488,0.72305268814254,0.991765637325808,0.608948470439828,0.357775260075108,0.579462250011525,1,0.714949518188488,0.82311353133856,0.708347307406886,0.772956420843316,0.7931774325181,0.769400970863826,0.765819182342793,0.744421008778654,0.848738387018793,0.837078996618185,0.22941080863433,0.532964947205734,0.828982374895473,0.649861381800387,0.863459002960979,0.30872237701504,0.530109255936834,0.577482752131411,0.470557799793398,0.901018114785931,0.261481660916975
