"animal1","animal2","overlap.low","overlap","overlap.high","s1","s2","sexes","animals"
"60","SG-002","SG-009",0.166048178067155,0.398594716785371,0.715555352327727,"M","F","MF","SG-002.SG-009"
"61","SG-002","SG-010",0.0188261988900376,0.0955387893940013,0.317582639000609,"M","M","MM","SG-002.SG-010"
"62","SG-002","SG-011",0.161521349868546,0.363480856230399,0.645581511806195,"M","M","MM","SG-002.SG-011"
"63","SG-002","SG-012",0.284483539777741,0.51918626105567,0.780198455604251,"M","M","MM","SG-002.SG-012"
"64","SG-002","SG-013",0.730680917614555,0.929292897306495,0.999486957779491,"M","M","MM","SG-002.SG-013"
"65","SG-002","SG-014",0.149793331153257,0.383286849030901,0.713343262430972,"M","M","MM","SG-002.SG-014"
"66","SG-002","SG-015",0.000362363299652979,0.00323050641221752,0.0203043218054171,"M","F","MF","SG-002.SG-015"
"67","SG-002","SG-016",0.187054424987757,0.457568999133997,0.797736542077731,"M","F","MF","SG-002.SG-016"
"68","SG-002","SG-017",0.000104306737787091,0.00182668408877128,0.0188260131694804,"M","F","MF","SG-002.SG-017"
"69","SG-002","SG-018",7.67693219040469e-05,0.00125617246551234,0.0126782413860672,"M","F","MF","SG-002.SG-018"
"70","SG-002","SG-019",0.000366879406470232,0.00275591319076677,0.015439371141045,"M","M","MM","SG-002.SG-019"
"71","SG-002","SG-020",2.27357695245322e-05,0.000296806798818355,0.00273331491434088,"M","F","MF","SG-002.SG-020"
"72","SG-002","SG-021",0.192394089340226,0.39838913252789,0.668514308504317,"M","M","MM","SG-002.SG-021"
"73","SG-002","SG-022",6.84956734207563e-05,0.000938706187693252,0.00851498320029161,"M","M","MM","SG-002.SG-022"
"74","SG-002","SG-023",0.0443558591694873,0.267683912347132,0.749634407112651,"M","M","MM","SG-002.SG-023"
"75","SG-002","SG-025",0.000975102679088807,0.0162335305806532,0.130909930720411,"M","M","MM","SG-002.SG-025"
"76","SG-003","SG-001",0.0680381020613647,0.121992388846318,0.203809756869407,"M","M","MM","SG-003.SG-001"
"77","SG-003","SG-001_2",0.689347851160107,0.779779447512247,0.860682854814078,"M","M","MM","SG-003.SG-001_2"
"78","SG-003","SG-002",0.355590994672863,0.591490027058109,0.829195826607508,"M","M","MM","SG-003.SG-002"
"80","SG-003","SG-004",0.605126735081445,0.769150066186509,0.904981273606859,"M","M","MM","SG-003.SG-004"
"81","SG-003","SG-005",0.346848623560645,0.467534745915343,0.60013164207922,"M","F","MF","SG-003.SG-005"
"82","SG-003","SG-006",0.419007540415544,0.50177416962165,0.588590787326493,"M","M","MM","SG-003.SG-006"
"83","SG-003","SG-007",0.298212288647003,0.539504622317826,0.800690243144066,"M","F","MF","SG-003.SG-007"
"84","SG-003","SG-008",0.000681841973527633,0.00225965586677111,0.00673392688896812,"M","F","MF","SG-003.SG-008"
"85","SG-003","SG-009",0.749744089796387,0.82576880735066,0.89191894098771,"M","F","MF","SG-003.SG-009"
"86","SG-003","SG-010",0.0370588671115103,0.135993823572173,0.361258012850734,"M","M","MM","SG-003.SG-010"
"87","SG-003","SG-011",0.524979433278255,0.639519105542285,0.751729405254758,"M","M","MM","SG-003.SG-011"
"88","SG-003","SG-012",0.125478830198543,0.285835863195645,0.529884002341691,"M","M","MM","SG-003.SG-012"
"89","SG-003","SG-013",0.370350620013321,0.573914765813091,0.783861346309433,"M","M","MM","SG-003.SG-013"
"90","SG-003","SG-014",0.469192082862785,0.629842929679053,0.786862541036504,"M","M","MM","SG-003.SG-014"
"91","SG-003","SG-015",2.12813009231985e-05,0.000127898876990457,0.00065402075096922,"M","F","MF","SG-003.SG-015"
"92","SG-003","SG-016",0.40084627810527,0.598683281565914,0.797126046304407,"M","F","MF","SG-003.SG-016"
"93","SG-003","SG-017",2.16314724661765e-05,0.000315028194411024,0.00313827257563535,"M","F","MF","SG-003.SG-017"
"94","SG-003","SG-018",0,0,0,"M","F","MF","SG-003.SG-018"
"95","SG-003","SG-019",0.00272813465562879,0.0100787742268265,0.03168054229647,"M","M","MM","SG-003.SG-019"
"96","SG-003","SG-020",1.48024181968417e-05,8.55759292303552e-05,0.000426345518369045,"M","F","MF","SG-003.SG-020"
"97","SG-003","SG-021",0.322471817675156,0.477319040295095,0.650522457481021,"M","M","MM","SG-003.SG-021"
"98","SG-003","SG-022",1.39784559593826e-05,0.000273637155506308,0.00339886294155504,"M","M","MM","SG-003.SG-022"
"99","SG-003","SG-023",0.300359047093705,0.572674071272398,0.853461691009168,"M","M","MM","SG-003.SG-023"
"100","SG-003","SG-025",3.37012364815724e-05,0.0033256087001116,0.0855855787402275,"M","M","MM","SG-003.SG-025"
"101","SG-004","SG-001",0.0852319962358742,0.159209110462342,0.271688462555567,"M","M","MM","SG-004.SG-001"
